Location,zillow-value,one-year-change,one-year-forcast,market-temperature,price-sqft,median-listing-price,median-sale-price,avg-days-on-market,negative-equity,delinquincy,rent-list-price,rent-sqft
Penrose neighbour,"687,324",6.8,-0.1,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Ashton Heights neighbour,"1,128,421",7.6,0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Cherrydale neighbour,"1,093,241",6.2,0.1,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Ballston-Virginia Square neighbour,"582,106",6.1,0.2,Very Hot,542,"417,000","498,600",Nodata,Nodata,Nodata,"2,625",2.90
Alcova Heights neighbour,"715,240",4.7,-1.0,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Fort Dupont neighbour,"384,255",9.8,0.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Benning neighbour,"410,094",11.8,0.3,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Benning Ridge neighbour,"389,161",8.7,1.0,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Benning Heights neighbour,"403,795",6.9,-1.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Mahaning Heights neighbour,"367,403",3.9,-0.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Chevy Chase Village neighbour,"1,814,972",3.2,0.7,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Spring Valley neighbour,"1,835,378",3.9,-0.3,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Marshall Heights neighbour,"369,375",7.3,-1.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Old Town neighbour,"943,879",6.0,0.6,Nodata,627,Nodata,"942,100",Nodata,Nodata,Nodata,Nodata,Nodata
Potomac Yard-Potomac Greens neighbour,"896,167",6.3,0.9,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Braddock Road Metro neighbour,"698,734",6.6,0.7,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Northeast neighbour,"678,393",8.2,1.3,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Old Town North neighbour,"517,758",7.2,0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Somerset neighbour,"1,591,902",3.4,0.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Chevy Chase Terrace neighbour,"1,430,328",5.1,0.9,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Friendship Village neighbour,"353,969",0.6,-0.4,Nodata,Nodata,Nodata,Nodata,Nodata,0.051,0.003,Nodata,Nodata
Hillbrook neighbour,"386,439",4.0,-1.7,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Deanwood neighbour,"363,800",6.6,-0.1,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Kent neighbour,"1,681,058",5.1,-0.1,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Donaldson Run neighbour,"1,218,076",4.3,-0.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Barcroft neighbour,"806,600",4.3,-0.4,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
